operator,from_gare_id,from_gare,to_gare_id,to_gare,source_km,osrm_km,delta_km,ratio
APRR,58,Artenay,335,GERZAT-VILLE,302.82,302.887,0.067,1.0002
APRR,58,Artenay,348,GROISSIAT,478.47,472.721,-5.749,0.988
APRR,58,Artenay,352,GYE,412.93,409.821,-3.109,0.9925
APRR,58,Artenay,366,JOIGNY,121.42,175.101,53.681,1.4421
APRR,58,Artenay,370,L ISLE-S/LE-DOUBS,447.02,445.959,-1.061,0.9976
APRR,58,Artenay,377,LA BOISSE,499.05,456.459,-42.591,0.9147
APRR,58,Artenay,378,LA BOISSE - MONTLUEL,477.52,457.863,-19.657,0.9588
APRR,58,Artenay,386,LA COTIERE,483.48,460.208,-23.272,0.9519
APRR,58,Artenay,388,La Croix-Chalon,463.87,465.047,1.177,1.0025
APRR,58,Artenay,425,LANGRES NORD,304.42,305.884,1.464,1.0048
APRR,58,Artenay,426,Langres sud,311.07,313.733,2.663,1.0086
APRR,58,Artenay,450,LE MIROIR,420.26,418.174,-2.086,0.995
APRR,58,Artenay,463,LES EPRUNES,207.44,155.438,-52.002,0.7493
APRR,58,Artenay,494,Mâcon nord,374.52,389.992,15.472,1.0413
APRR,58,Artenay,495,MACON SUD,384.85,429.88,45.03,1.117
APRR,58,Artenay,498,Magnant,227.25,227.741,0.491,1.0022
APRR,58,Artenay,507,Marolles-sur-Seine,159.05,132.065,-26.985,0.8303
APRR,58,Artenay,549,Montigny-le-Roi,324.52,370.296,45.776,1.1411
APRR,58,Artenay,552,MONTMARAULT,239.88,238.786,-1.094,0.9954
APRR,58,Artenay,585,NEMOURS,142.96,107.945,-35.015,0.7551
APRR,58,Artenay,602,NITRY,183.72,224.771,41.051,1.2234
APRR,58,Artenay,605,Nuits-St-Georges,312.82,312.507,-0.313,0.999
APRR,58,Artenay,637,Pérouges,466.67,465.976,-0.694,0.9985
APRR,58,Artenay,652,PONT D AIN,441.85,441.009,-0.841,0.9981
APRR,58,Artenay,660,POUILLY-EN-AUXOIS,258.02,248.637,-9.383,0.9636
APRR,58,Artenay,683,REPLONGES,385.37,430.686,45.316,1.1176
APRR,58,Artenay,687,RIOM,296.8,310.158,13.358,1.045
APRR,58,Artenay,689,Robecourt,346.48,375.708,29.228,1.0844
APRR,58,Artenay,714,SAINT GENIS,475.04,420.179,-54.861,0.8845
APRR,58,Artenay,726,SAINT MAURICE,487.02,452.468,-34.552,0.9291
APRR,58,Artenay,732,SAINT THIBAULT,201.02,225.426,24.406,1.1214
APRR,58,Artenay,769,Seurre,324.32,363.966,39.646,1.1222
APRR,58,Artenay,777,SOIRANS,352.07,355.003,2.933,1.0083
APRR,58,Artenay,785,St-Amand-Montrond,173.15,175.214,2.064,1.0119
APRR,58,Artenay,819,St-Martin-du-Fresne,458.58,470.206,11.626,1.0254
APRR,58,Artenay,791,ST-DENIS-LES-SENS,129.16,132.815,3.655,1.0283
APRR,58,Artenay,798,St-Germain-Laxis,191.1,148.764,-42.336,0.7785
APRR,58,Artenay,842,SYLANS,468.15,468.343,0.193,1.0004
APRR,58,Artenay,853,THENNELIERES,213.12,213.094,-0.026,0.9999
APRR,58,Artenay,861,TIL CHATEL,341.12,341.67,0.55,1.0016
APRR,58,Artenay,863,TORVILLIERS,184.94,188.56,3.62,1.0196
APRR,58,Artenay,872,TOURNUS,349.02,351.1,2.08,1.006
APRR,58,Artenay,893,URY,154.79,80.361,-74.429,0.5192
APRR,58,Artenay,902,VAL DE SAONE,495.39,393.787,-101.603,0.7949
APRR,58,Artenay,925,VILLE SOUS LAFERTE,254.92,255.717,0.797,1.0031
APRR,58,Artenay,929,VILLEFRANCHE-LIMAS,450.82,438.295,-12.525,0.9722
APRR,58,Artenay,930,Villefranche nord,415.07,427.838,12.768,1.0308
APRR,58,Artenay,933,Villefranche ville,420.37,421.889,1.519,1.0036
APRR,58,Artenay,934,VILLENEUVE-DONDAGRE,116.15,118.005,1.855,1.016
APRR,58,Artenay,939,Viriat,417.04,417.512,0.472,1.0011
APRR,58,Artenay,951,Vulaines,157.9,160.141,2.241,1.0142
APRR,68,Auxerre nord,27,ALLAINES,160.62,160.554,-0.066,0.9996
APRR,68,Auxerre nord,28,Allainville,189.22,183.032,-6.188,0.9673
APRR,68,Auxerre nord,31,Ambérieu,301.99,351.293,49.303,1.1633
APRR,68,Auxerre nord,34,AMBOISE CH.RENAULT,237.82,238.886,1.066,1.0045
APRR,68,Auxerre nord,55,ARLAY,242.5,322.226,79.726,1.3288
APRR,68,Auxerre nord,58,Artenay,147.22,175.07,27.85,1.1892
APRR,68,Auxerre nord,69,Auxerre sud,11.7,62.727,51.027,5.3613
APRR,68,Auxerre nord,71,AUXY,91.12,136.694,45.574,1.5002
APRR,68,Auxerre nord,72,Avallon,55.8,159.794,103.994,2.8637
APRR,68,Auxerre nord,76,Balan,326.02,365.972,39.952,1.1225
APRR,68,Auxerre nord,82,BAUME-LES-DAMES,282.5,330.99,48.49,1.1716
APRR,68,Auxerre nord,93,BEAUMONT,388.78,361.326,-27.454,0.9294
APRR,68,Auxerre nord,95,Beaune nord,147.45,198.641,51.191,1.3472
APRR,68,Auxerre nord,96,BEAUNE SUD,153.2,204.115,50.916,1.3323
APRR,68,Auxerre nord,97,BEAUPONT,286.2,291.6,5.4,1.0189
