gare_id,canonical_name,direction,in_anchors,status,toll_roads,toll_m,origin_used,maps_link
618,ORMES,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.053831,4.286142/49.053831,4.286142"
619,Orthez,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.468768,-0.745419/43.468768,-0.745419"
619,Orthez,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.468768,-0.745419/43.468768,-0.745419"
620,Péage de Pamiers,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.154165,1.616032/43.154165,1.616032"
620,Péage de Pamiers,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.154165,1.616032/43.154165,1.616032"
621,Pamiers Nord,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.150290,1.616559/43.150290,1.616559"
621,Pamiers Nord,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.150290,1.616559/43.150290,1.616559"
622,Pamiers Sud,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.138422,1.624056/43.138422,1.624056"
622,Pamiers Sud,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.138422,1.624056/43.138422,1.624056"
623,Parages,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.981771,1.334835/43.981771,1.334835"
623,Parages,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.981771,1.334835/43.981771,1.334835"
624,PARIGNE-L'EVEQUE,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.954328,0.324484/47.954328,0.324484"
624,PARIGNE-L'EVEQUE,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.954328,0.324484/47.954328,0.324484"
625,Parigné-l’Évêque,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.954328,0.324484/47.954328,0.324484"
625,Parigné-l’Évêque,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.954328,0.324484/47.954328,0.324484"
626,PARIS (LA FOLIE BESSIN),entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.675441,2.197344/48.675441,2.197344"
626,PARIS (LA FOLIE BESSIN),exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.675441,2.197344/48.675441,2.197344"
627,PARIS (LA FOLIE BESSIN),entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.569120,1.988783/48.569120,1.988783"
627,PARIS (LA FOLIE BESSIN),exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.569120,1.988783/48.569120,1.988783"
628,PARIS / NOISY-LE-GRAND (péage de Coutevroult),entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.853849,2.837918/48.853849,2.837918"
628,PARIS / NOISY-LE-GRAND (péage de Coutevroult),exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.853849,2.837918/48.853849,2.837918"
629,PARIS / ROISSY (péage de Chamant),entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.216009,2.627517/49.216009,2.627517"
629,PARIS / ROISSY (péage de Chamant),exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.216009,2.627517/49.216009,2.627517"
630,Pas-de-Trets,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.384786,5.603533/43.384786,5.603533"
630,Pas-de-Trets,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.384786,5.603533/43.384786,5.603533"
631,Pau centre,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.330253,-0.345040/43.330253,-0.345040"
631,Pau centre,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.330253,-0.345040/43.330253,-0.345040"
632,Pellouailles-les-Vignes,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.518941,-0.428838/47.518941,-0.428838"
632,Pellouailles-les-Vignes,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.518941,-0.428838/47.518941,-0.428838"
633,Périgueux est,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.147222,0.801977/45.147222,0.801977"
633,Périgueux est,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.147222,0.801977/45.147222,0.801977"
634,Périgueux ouest,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.149657,0.799836/45.149657,0.799836"
634,Périgueux ouest,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.149657,0.799836/45.149657,0.799836"
635,Périgueux sud,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.142270,0.699434/45.142270,0.699434"
635,Périgueux sud,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.142270,0.699434/45.142270,0.699434"
636,PÉRONNE / VALLEE DE LA SOMME,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.878843,2.837079/49.878843,2.837079"
636,PÉRONNE / VALLEE DE LA SOMME,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.878843,2.837079/49.878843,2.837079"
637,Pérouges,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.862207,5.175975/45.862207,5.175975"
637,Pérouges,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.862207,5.175975/45.862207,5.175975"
638,Perpignan nord,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/42.783238,2.894939/42.783238,2.894939"
638,Perpignan nord,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/42.783238,2.894939/42.783238,2.894939"
639,Perpignan sud,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/42.665034,2.861685/42.665034,2.861685"
639,Perpignan sud,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/42.665034,2.861685/42.665034,2.861685"
640,Péage du Perthus,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/42.527605,2.821822/42.527605,2.821822"
640,Péage du Perthus,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/42.527605,2.821822/42.527605,2.821822"
641,Pertuis,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.661762,5.500706/43.661762,5.500706"
641,Pertuis,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.661762,5.500706/43.661762,5.500706"
642,Peyrehorade,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.514058,-1.104911/43.514058,-1.104911"
642,Peyrehorade,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.514058,-1.104911/43.514058,-1.104911"
643,Peyruis,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.040300,5.966126/44.040300,5.966126"
643,Peyruis,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.040300,5.966126/44.040300,5.966126"
644,PHALSBOURG,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.775575,7.243471/48.775575,7.243471"
